order_id,order_date,ship_date,sales,quantity,discount,profit,shipping_cost,order_priority,ship_mode,CustomerID,ProductKey
MX-2011-115329,26/12/2011 00:00:00,30/12/2011 00:00:00,11,2,0,0,0.57,Medium,Standard Class,39,3564
MX-2011-115329,26/12/2011 00:00:00,30/12/2011 00:00:00,11,2,0,0,0.57,Medium,Standard Class,39,3578
MX-2011-115329,26/12/2011 00:00:00,30/12/2011 00:00:00,11,2,0,0,0.57,Medium,Standard Class,39,3694
MX-2011-115329,26/12/2011 00:00:00,30/12/2011 00:00:00,11,2,0,0,0.57,Medium,Standard Class,39,3802
MX-2011-115329,26/12/2011 00:00:00,30/12/2011 00:00:00,11,2,0,0,0.57,Medium,Standard Class,39,4029
MX-2011-115329,26/12/2011 00:00:00,30/12/2011 00:00:00,11,2,0,0,0.57,Medium,Standard Class,39,4060
MX-2011-115329,26/12/2011 00:00:00,30/12/2011 00:00:00,11,2,0,0,0.57,Medium,Standard Class,39,4154
MX-2011-115329,26/12/2011 00:00:00,30/12/2011 00:00:00,11,2,0,0,0.57,Medium,Standard Class,39,4201
MX-2011-115329,26/12/2011 00:00:00,30/12/2011 00:00:00,11,2,0,0,0.57,Medium,Standard Class,39,5634
MX-2011-115329,26/12/2011 00:00:00,30/12/2011 00:00:00,11,2,0,0,0.57,Medium,Standard Class,39,5636
MX-2011-115329,26/12/2011 00:00:00,30/12/2011 00:00:00,11,2,0,0,0.57,Medium,Standard Class,1060,3564
MX-2011-115329,26/12/2011 00:00:00,30/12/2011 00:00:00,11,2,0,0,0.57,Medium,Standard Class,1060,3578
MX-2011-115329,26/12/2011 00:00:00,30/12/2011 00:00:00,11,2,0,0,0.57,Medium,Standard Class,1060,3694
MX-2011-115329,26/12/2011 00:00:00,30/12/2011 00:00:00,11,2,0,0,0.57,Medium,Standard Class,1060,3802
MX-2011-115329,26/12/2011 00:00:00,30/12/2011 00:00:00,11,2,0,0,0.57,Medium,Standard Class,1060,4029
MX-2011-115329,26/12/2011 00:00:00,30/12/2011 00:00:00,11,2,0,0,0.57,Medium,Standard Class,1060,4060
MX-2011-115329,26/12/2011 00:00:00,30/12/2011 00:00:00,11,2,0,0,0.57,Medium,Standard Class,1060,4154
